_date,total_clones,unique_clones
2021-06-19,18,18
2021-06-20,89,31
2021-06-21,57,26
2021-06-22,86,32
2021-06-23,199,43
2021-06-24,91,36
2021-06-25,105,35
2021-06-26,88,31
2021-06-27,100,31
2021-06-28,84,25
2021-06-29,95,31
2021-06-30,112,33
2021-07-01,138,37
2021-07-02,198,43
2021-07-03,180,45
2021-07-04,279,42
2021-07-05,330,43
2021-07-06,147,40
2021-07-07,132,34
2021-07-08,116,35
2021-07-09,118,33
2021-07-10,119,36
2021-07-11,121,36
2021-07-12,114,32
2021-07-13,159,32
2021-07-14,142,34
2021-07-15,195,42
2021-07-16,177,37
2021-07-17,93,30
2021-07-18,104,38
2021-07-19,136,30
2021-07-20,193,28
2021-07-21,111,29
2021-07-22,152,31
2021-07-23,209,29
2021-07-24,145,30
2021-07-25,165,37
2021-07-26,128,31
2021-07-27,158,34
2021-07-28,150,30
2021-07-29,56,27
2021-07-30,90,29
2021-07-31,154,30
2021-08-01,155,33
2021-08-02,157,26
2021-08-03,175,35
2021-08-04,297,42
2021-08-05,195,34
2021-08-06,231,41
2021-08-07,187,33
2021-08-08,190,33
2021-08-09,175,24
2021-08-10,234,36
2021-08-11,360,44
2021-08-12,107,26
2021-08-13,199,37
2021-08-14,156,32
2021-08-15,152,28
2021-08-16,91,26
2021-08-17,91,25
2021-08-18,193,32
2021-08-19,158,29
2021-08-20,148,25
2021-08-21,144,25
2021-08-22,144,20
2021-08-23,139,20
2021-08-24,154,28
2021-08-25,143,24
2021-08-26,221,34
2021-08-27,181,31
2021-08-28,152,33
2021-08-29,151,26
2021-08-30,241,39
2021-08-31,352,42
2021-09-01,216,34
2021-09-02,291,32
2021-09-03,180,31
2021-09-04,186,31
2021-09-05,193,30
2021-09-06,101,24
2021-09-07,372,40
2021-09-08,206,31
2021-09-09,341,33
2021-09-10,325,28
2021-09-11,287,27
2021-09-12,253,24
2021-09-13,257,23
2021-09-14,291,23
2021-09-15,308,25
2021-09-16,319,28
2021-09-17,317,30
2021-09-18,344,31
2021-09-19,302,29
2021-09-20,317,25
2021-09-21,313,32
2021-09-22,317,28
2021-09-23,324,29
2021-09-24,327,30
2021-09-25,302,27
2021-09-26,258,23
2021-09-27,265,23
2021-09-28,295,27
2021-09-29,352,31
2021-09-30,328,29
2021-10-01,335,27
2021-10-02,333,32
2021-10-03,297,28
2021-10-04,228,22
2021-10-05,328,25
2021-10-06,413,33
2021-10-07,312,27
2021-10-08,297,27
2021-10-09,236,25
2021-10-10,309,30
2021-10-11,280,25
2021-10-12,246,26
2021-10-13,225,21
2021-10-14,237,25
2021-10-15,249,23
2021-10-16,93,9
2021-10-17,17,11
2021-10-18,8,6
2021-10-19,14,7
2021-10-20,513,17
2021-10-21,1068,29
2021-10-22,746,20
2021-10-23,650,17
2021-10-24,488,22
2021-10-25,555,21
2021-10-26,395,21
2021-10-27,278,20
2021-10-28,210,19
2021-10-29,234,22
2021-10-30,210,20
2021-10-31,238,25
2021-11-01,207,20
2021-11-02,230,21
2021-11-03,115,10
2021-11-04,210,19
2021-11-05,209,20
2021-11-06,208,18
2021-11-07,246,24
2021-11-08,255,20
2021-11-09,201,20
2021-11-10,210,21
2021-11-11,219,23
2021-11-12,211,20
2021-11-13,208,18
2021-11-14,215,19
2021-11-15,249,24
2021-11-16,197,15
2021-11-17,228,21
2021-11-18,239,19
2021-11-19,336,32
2021-11-20,208,18
2021-11-21,198,21
2021-11-22,232,20
2021-11-23,240,19
2021-11-24,223,22
2021-11-25,221,21
2021-11-26,125,11
2021-11-27,214,23
2021-11-28,12,3
2021-11-29,226,17
2021-11-30,218,19
2021-12-01,206,17
2021-12-02,222,21
2021-12-03,229,19
2021-12-04,293,20
2021-12-05,250,26
2021-12-06,297,22
2021-12-07,201,21
2021-12-08,230,20
2021-12-09,219,19
2021-12-10,207,18
2021-12-11,228,20
2021-12-12,247,23
2021-12-13,190,14
2021-12-14,208,15
2021-12-15,221,20
2021-12-16,208,20
2021-12-17,208,20
2021-12-18,242,22
2021-12-19,262,24
2021-12-20,250,22
2021-12-21,248,21
2021-12-22,230,21
2021-12-23,221,21
2021-12-24,241,22
2021-12-25,222,20
2021-12-26,166,17
2021-12-27,316,24
2021-12-28,268,23
2021-12-29,231,22
2021-12-30,230,19
2021-12-31,229,20
2022-01-01,277,21
2022-01-02,299,25
2022-01-03,285,22
2022-01-04,198,17
2022-01-05,238,19
2022-01-06,262,17
2022-01-07,237,20
2022-01-08,137,13
2022-01-09,261,22
2022-01-10,286,21
2022-01-11,248,21
2022-01-12,138,13
2022-01-13,213,20
2022-01-14,207,18
2022-01-15,210,20
2022-01-16,210,22
2022-01-17,263,19
2022-01-18,200,18
2022-01-19,241,23
2022-01-20,224,21
2022-01-21,234,20
2022-01-22,210,20
2022-01-23,310,28
2022-01-24,283,25
2022-01-25,189,20
2022-01-26,182,21
2022-01-27,234,26
2022-01-28,224,21
2022-01-29,208,18
2022-01-30,271,25
2022-01-31,238,19
2022-02-01,244,22
2022-02-02,251,25
2022-02-03,191,18
2022-02-04,209,19
2022-02-05,264,23
2022-02-06,237,22
2022-02-07,230,21
2022-02-08,213,17
2022-02-09,233,21
2022-02-10,218,18
2022-02-11,206,17
2022-02-12,201,20
2022-02-13,213,18
2022-02-14,213,21
2022-02-15,291,23
2022-02-16,329,26
2022-02-17,241,22
2022-02-18,201,20
2022-02-19,289,21
2022-02-20,297,27
2022-02-21,186,17
2022-02-22,200,17
2022-02-23,197,16
2022-02-24,198,18
2022-02-25,251,21
2022-02-26,222,20
2022-02-27,234,20
2022-02-28,290,20
2022-03-01,208,16
2022-03-02,216,15
2022-03-03,213,14
2022-03-04,227,17
2022-03-05,343,22
2022-03-06,348,26
2022-03-07,310,17
2022-03-08,199,14
2022-03-09,181,13
2022-03-10,165,13
2022-03-11,166,12
2022-03-12,221,18
2022-03-13,102,13
2022-03-14,310,17
2022-03-15,220,22
2022-03-16,236,21
2022-03-17,238,19
2022-03-18,244,22
2022-03-19,228,20
2022-03-20,224,20
2022-03-21,197,16
2022-03-22,241,21
2022-03-23,214,16
2022-03-24,215,17
2022-03-25,209,17
2022-03-26,197,13
2022-03-27,218,18
2022-03-28,349,22
2022-03-29,207,16
2022-03-30,68,8
2022-03-31,198,16
2022-04-01,248,18
2022-04-02,195,14
2022-04-03,170,12
2022-04-04,236,15
2022-04-05,227,17
2022-04-06,274,14
2022-04-07,245,19
2022-04-08,202,14
2022-04-09,217,14
2022-04-10,328,17
2022-04-11,337,17
2022-04-12,236,19
2022-04-13,321,17
2022-04-14,341,22
2022-04-15,223,18
2022-04-16,216,18
2022-04-17,203,16
2022-04-18,318,22
2022-04-19,296,18
2022-04-20,177,16
2022-04-21,229,16
2022-04-22,203,15
2022-04-23,342,21
2022-04-24,229,17
2022-04-25,212,14
2022-04-26,242,17
2022-04-27,223,18
2022-04-28,349,23
2022-04-29,308,24
2022-04-30,33,16
2022-05-01,61,21
2022-05-02,109,17
2022-05-03,33,16
2022-05-04,72,17
2022-05-05,32,14
2022-05-06,32,16
2022-05-07,31,14
2022-05-08,60,19
2022-05-09,75,16
2022-05-10,40,16
2022-05-11,29,14
2022-05-12,30,14
2022-05-13,29,14
2022-05-14,30,14
2022-05-15,58,18
2022-05-16,116,14
2022-05-17,35,15
2022-05-18,32,14
2022-05-19,29,14
2022-05-20,30,14
2022-05-21,28,14
2022-05-22,55,15
2022-05-23,30,16
2022-05-24,30,14
2022-05-25,87,15
2022-05-26,39,18
2022-05-27,40,18
2022-05-28,32,16
2022-05-29,60,18
2022-05-30,28,12
2022-05-31,44,20
2022-06-01,30,14
2022-06-02,33,12
2022-06-03,26,12
2022-06-04,31,14
2022-06-05,59,18
2022-06-06,26,12
2022-06-07,25,10
2022-06-08,22,10
2022-06-09,21,9
2022-06-10,24,10
2022-06-11,27,13
2022-06-12,55,15
2022-06-13,64,16
2022-06-14,23,10
2022-06-15,26,12
2022-06-16,25,11
2022-06-17,24,10
2022-06-18,22,11
2022-06-19,46,11
2022-06-20,20,10
2022-06-21,28,13
2022-06-22,73,18
2022-06-23,21,10
2022-06-24,27,12
2022-06-25,33,15
2022-06-26,55,15
2022-06-27,68,15
2022-06-28,77,15
2022-06-29,76,20
2022-06-30,28,14
2022-07-01,30,14
2022-07-02,30,15
2022-07-03,63,20
2022-07-04,26,13
2022-07-05,22,9
2022-07-06,32,14
2022-07-07,31,15
2022-07-08,31,13
2022-07-09,34,16
2022-07-10,82,19
2022-07-11,27,13
2022-07-12,32,15
2022-07-13,34,15
2022-07-14,22,9
2022-07-15,23,11
2022-07-16,15,6
2022-07-17,41,8
2022-07-18,56,8
2022-07-19,16,7
2022-07-20,16,7
2022-07-21,19,7
2022-07-22,12,4
2022-07-23,14,6
2022-07-24,47,13
2022-07-25,22,9
2022-07-26,17,7
